entity_id,bioguide_id,name,state,party,chamber
M:S001199,S001199,Lloyd Smucker,PA,Republican,House
M:S001208,S001208,Elissa Slotkin,MI,Democrat,Senate
M:S001211,S001211,Greg Stanton,AZ,Democrat,House
M:S001215,S001215,Haley M. Stevens,MI,Democrat,House
M:S001216,S001216,Kim Schrier,WA,Democrat,House
M:S001217,S001217,Rick Scott,FL,Republican,Senate
M:S001218,S001218,Melanie A. Stansbury,NM,Democrat,House
M:S001223,S001223,Emilia Strong Sykes,OH,Democrat,House
M:S001225,S001225,Eric Sorensen,IL,Democrat,House
M:S001226,S001226,Andrea Salinas,OR,Democrat,House
M:S001230,S001230,Suhas Subramanyam,VA,Democrat,House
M:S001231,S001231,Lateefah Simon,CA,Democrat,House
M:T000250,T000250,John Thune,SD,Republican,Senate
M:T000278,T000278,Tommy Tuberville,AL,Republican,Senate
M:T000460,T000460,Mike Thompson,CA,Democrat,House
M:T000468,T000468,Dina Titus,NV,Democrat,House
M:T000476,T000476,Thom Tillis,NC,Republican,Senate
M:T000482,T000482,Lori Trahan,MA,Democrat,House
M:T000487,T000487,Jill N. Tokuda,HI,Democrat,House
M:T000488,T000488,Shri Thanedar,MI,Democrat,House
M:T000490,T000490,David J. Taylor,OH,Republican,House
M:T000491,T000491,Derek Tran,CA,Democrat,House
M:U000040,U000040,Lauren Underwood,IL,Democrat,House
M:V000128,V000128,Chris Van Hollen,MD,Democrat,Senate
M:V000129,V000129,David G. Valadao,CA,Republican,House
M:V000134,V000134,Beth Van Duyne,TX,Republican,House
M:V000136,V000136,Gabe Vasquez,NM,Democrat,House
M:V000138,V000138,Eugene Simon Vindman,VA,Democrat,House
M:W000779,W000779,Ron Wyden,OR,Democrat,Senate
M:W000790,W000790,Raphael G. Warnock,GA,Democrat,Senate
M:W000797,W000797,Debbie Wasserman Schultz,FL,Democrat,House
M:W000800,W000800,Peter Welch,VT,Democrat,Senate
M:W000805,W000805,Mark R. Warner,VA,Democrat,Senate
M:W000806,W000806,Daniel Webster,FL,Republican,House
M:W000831,W000831,James R. Walkinshaw,VA,Democrat,House
M:Y000064,Y000064,Todd Young,IN,Republican,Senate
M:Z000018,Z000018,Ryan K. Zinke,MT,Republican,House
